🟣 Announcements,Official announcements.,announcements/13
🟢 Help,Get help from fellow Obsidian users.,get-help/19
🔴 Bug Reports,Report bugs so that we can squash them. Please try searching for duplicates before posting.,bug-reports/7
🟢 Feature Requests,"Suggest features to be added to core Obsidian. For third party plugin ideas, post under “Plugins ideas”. Please try searching for duplicates before posting.",feature-requests/8
🔵 Share & Showcase,"Showcase your custom CSS, workflows, and nifty hacks.",share-showcase/9
🟣 Plugin Ideas,Share plugin ideas and talk about what interfaces are needed.,plugins/10
🟠 Knowledge Management,Talk about PKM methodologies.,knowledge-management/6
🟢 Developers & API,"Talk about the upcoming plugin interface and technical stuff while working with Obsidian. For plugin ideas, please post under “Plugin ideas”.",developers-api/14
🔴 Mobile,Let us know the bugs and requests you have with the mobile app.,mobile/18
🔵 Meta,Meta topics about Obsidian or the forum.,meta/16
🟢 FAQ,"Read answers to FAQs here. To suggest a topic, please post under “Obsidian”.",faq/15
⚪️ Feature Archive,Implemented features.,feature-request-archive/11
⚪️ Bug Graveyard,"Rest in peace, Obsidian bugs, please do not come back and haunt us. (Regression bugs suck!)",bug-graveyard/12
⚪️ Resolved Help,"If you still need help with something, comment on it and @moderators so we can move it back to “Help” for you.",resolved-help/17
